museum,collection,GUID,sciname,locuncertain,country,state,locality,date,lat,lon,alt,ssp,age,sex,toel1,toea1,toeb1,toel2,toea2,toeb2,toel3,toea3,toeb3,toel4,toea4,toeb4,toel5,toea5,toeb5,toel6,toea6,toeb6,toem1,toem2,toem3,toem4,toem5,toem6,rlightl1,rlighta1,rlightb1,rlightl2,rlighta2,rlightb2,rlightl3,rlighta3,rlightb3,rlightl4,rlighta4,rlightb4,rlightl5,rlighta5,rlightb5,rlightl6,rlighta6,rlightb6,rlightm1,rlightm2,rlightm3,rlightm4,rlightm5,rlightm6,rdarkl1,rdarka1,rdarkb1,rdarkl2,rdarka2,rdarkb2,rdarkl3,rdarka3,rdarkb3,rdarkl4,rdarka4,rdarkb4,rdarkl5,rdarka5,rdarkb5,rdarkl6,rdarka6,rdarkb6,rdarkm1,rdarkm2,rdarkm3,rdarkm4,rdarkm5,rdarkm6,backl1,backa1,backb1,backl2,backa2,backb2,backl3,backa3,backb3,backl4,backa4,backb4,backl5,backa5,backb5,backl6,backa6,backb6,backm1,backm2,backm3,backm4,backm5,backm6
MSB,Bird,28703,Buteo regalis,5427,United States,New Mexico,Ojo Caliente,11/5/2008,36.3030739,-106.0515464,1893.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,19825,Bubo virginianus pallescens,49319,United States,New Mexico,Cuba; 31 m. NW,3/8/1997,36.312912,-107.3638916,2006,pal,adult,M,58.02,4.44,23.18,63.9,1.81,22.83,44.87,5.5,20.73,72.25,0.65,28.1,73.29,3.19,24.25,71.6,1.77,27.26,22.42,23.32,14.67,10.37,13.26,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1.57,11.86,14.95,1.7,10.75,14.6,1.45,12.9,27.1,2.9,15.46,21.6,4.01,7.69,24.56,2.97,15.19,76.69,63.25,52.73,66.15,70.47,60.53
MSB,Bird,14760,Bubo virginianus pallescens,330,United States,New Mexico,Taylor Springs; 1 mi E,8/30/1965,36.3260344,-104.4935632,1736.6,pal,immature,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,25642,Bubo virginianus lagophonus,22542,United States,New Mexico,"Guadalupita, 14 mi NNE of Mora",10/18/2006,36.3333812,-105.3046417,2691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,7564,Bubo virginianus,2268,United States,New Mexico,Rancho de Taos,8/17/1991,36.3626927,-105.6047058,2125.1,pin,adult,M,27.16,3.51,15.52,33.52,3.67,18.28,29.67,3.43,15.81,30.8,5.7,17.16,33.09,5.25,15.41,35.54,3.61,18.5,50.27,47.96,47.64,52.48,44.26,45.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,2.46,5.24,11.01,4.75,9.02,7.58,1.76,4.44,12.84,2.99,11.49,12.14,2.74,8.23,9.35,2.71,8.01,98.33,73.1,96,80.15,97.99,91.68
MSB,Bird,29032,Bubo virginianus,20685,United States,New Mexico,"Bloomfield, 32 mi SE",6/13/2008,36.38497,-107.57718,2091.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,26231,Bubo virginianus,8047,United States,New Mexico,Taos,8/23/2007,36.4072495,-105.5730667,2124.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,29046,Bubo virginianus,18175,United States,New Mexico,ca. 28 mi SE Bloomfield,9/6/2008,36.42599,-107.62813,2032.8,pin,immature,F,31.49,4.46,17.12,23.2,5.33,17.4,26.92,4.64,16.64,35.52,6.11,29.03,25.34,3.62,20.71,23.24,3.9,13.03,48.46,45.25,47.75,61.71,42.78,42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62,3.56,7.3,8.26,2.18,6.5,6.74,2.33,4.04,6.61,0.99,3.87,12,1.38,8.07,9.57,1.59,6.3,88.25,90.08,85.94,106.46,100.55,72.26
MSB,Bird,26859,Bubo virginianus,3330,United States,New Mexico,Clayton,7/30/2008,36.4516926,-103.1841011,1541.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,4150,Bubo virginianus lagophonus,18054,United States,New Mexico,"5 mi N, 11 mi W of Taos on US 64",10/30/1976,36.4847969,-105.7489014,2138.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
